"temp","pop","plant","cat_id","date_hatch","date_4","delta_4","time_molt_4","mass_4","ln_4","date_5","delta_5","time_molt_5","mass_5","ln_5","date_w","delta_w","mass_w","ln_w","time_in_5"
"20","F","DC","A","18-Jul-08","11-Aug-08",24,"10:00 PM",199.41,5.3,"20-Aug-08",33,"10:00 PM",1311.28,7.18,"4-Sep-08",48,8044.57,8.992752609,15
"20","F","DC","D","18-Jul-08","13-Aug-08",26,"9:00 PM",159.36,5.07,"24-Aug-08",37,"9:00 AM",1528.4,7.33,"31-Aug-08",44,7660.65,8.943852116,7
"20","F","DC","F","18-Jul-08","8-Aug-08",21,"11:00 PM",220.73,5.4,"14-Aug-08",27,"11:00 PM",879.58,6.78,"3-Sep-08",47,9052.19,9.110761996,20
"20","F","DC","I","18-Jul-08","12-Aug-08",25,"10:00 PM",170.31,5.14,"25-Aug-08",38,"1:00 PM",1284.56,7.16,"2-Sep-08",46,6921.44,8.842379119,8
"20","F","DC","O","18-Jul-08","7-Aug-08",20,"11:00 PM",198.42,5.29,"19-Aug-08",32,"2:00 PM",1403.93,7.25,"4-Sep-08",48,7801.79,8.962108474,16
"20","F","DC","P","18-Jul-08","7-Aug-08",20,"1:00 AM",97.77,4.58,"12-Aug-08",25,"11:00 PM",724.06,6.58,"11-Sep-08",55,4838.92,8.484446834,30
"20","F","DC","S","18-Jul-08","6-Aug-08",19,"11:00 PM",220.95,5.4,"12-Aug-08",25,"11:00 PM",719.42,6.58,"9-Sep-08",53,5983.94,8.696834493,28
"20","F","DC","U","18-Jul-08","10-Aug-08",23,"10:00 PM",165.39,5.11,"18-Aug-08",31,"10:00 AM",1156.67,7.05,"5-Sep-08",49,6145.82,8.723527455,18
"20","F","DC","V","18-Jul-08","12-Aug-08",25,"10:00 PM",155.49,5.05,"19-Aug-08",32,"11:00 AM",1202.18,7.09,"6-Sep-08",50,6368.54,8.759125523,18
"20","F","DC","X","18-Jul-08","7-Aug-08",20,"1:00 AM",221.9,5.4,"15-Aug-08",28,"11:00 PM",1901.94,7.55,"28-Aug-08",41,7281.79,8.89313199,13
"20","F","TB","A","17-Jul-08","31-Jul-08",14,"11:00 AM",290.84,5.67,"5-Aug-08",19,"5:00 PM",1509.7,7.32,"13-Aug-08",27,11732,9.370072021,8
"20","F","TB","B","17-Jul-08","31-Jul-08",14,"9:00 PM",268.44,5.59,"6-Aug-08",20,"3:00 PM",1297.13,7.17,"13-Aug-08",27,11405.5,9.341847467,7
"20","F","TB","C","17-Jul-08","30-Jul-08",13,"9:00 PM",254.48,5.54,"5-Aug-08",19,"4:00 PM",1639.07,7.4,"12-Aug-08",26,12279.1,9.415650652,7
"20","F","TB","D","17-Jul-08","30-Jul-08",13,"10:00 AM",245.12,5.5,"7-Aug-08",21,"2:00 PM",1667.95,7.42,"15-Aug-08",29,12072.2,9.398660568,8
"20","F","TB","E","17-Jul-08","30-Jul-08",13,"10:00 AM",302.22,5.71,"4-Aug-08",18,"6:00 PM",1232.39,7.12,"13-Aug-08",27,9168.4,9.123514796,9
"20","F","TB","F","17-Jul-08","31-Jul-08",14,"10:00 AM",242.94,5.49,"5-Aug-08",19,"4:00 PM",1534.11,7.34,"12-Aug-08",26,11810.3,9.376729851,7
"20","F","TB","G","17-Jul-08","30-Jul-08",13,"1:00 PM",254.17,5.54,"4-Aug-08",18,"11:00 AM",1473.88,7.3,"11-Aug-08",25,12595.6,9.441100444,7
"20","F","TB","H","17-Jul-08","30-Jul-08",13,"8:00 PM",290.25,5.67,"5-Aug-08",19,"9:00 AM",2024.29,7.61,"11-Aug-08",25,12465.5,9.430719305,6
"20","F","TB","I","17-Jul-08","30-Jul-08",13,"10:00 AM",288.77,5.67,"4-Aug-08",18,"2:00 PM",1458.35,7.29,"11-Aug-08",25,11441.7,9.345018107,7
"20","F","TB","J","17-Jul-08","30-Jul-08",13,"9:00 PM",234.44,5.46,"5-Aug-08",19,"10:00 AM",1387.74,7.24,"12-Aug-08",26,11591.3,9.358010958,7
"20","F","TB","K","17-Jul-08","1-Aug-08",15,"9:00 AM",206.53,5.33,"7-Aug-08",21,"9:00 PM",1998.72,7.6,"16-Aug-08",30,13296.9,9.4952847,9
"20","F","TB","L","17-Jul-08","30-Jul-08",13,"1:00 PM",351.5,5.86,"4-Aug-08",18,"6:00 PM",1620.35,7.39,"11-Aug-08",25,11666.2,9.364446765,7
"20","F","TB","M","17-Jul-08","31-Jul-08",14,"1:00 PM",287.88,5.66,"5-Aug-08",19,"4:00 PM",1676.63,7.42,"12-Aug-08",26,13117.8,9.481725366,7
"20","F","TB","N","17-Jul-08","2-Aug-08",16,"8:00 AM",250.48,5.52,"7-Aug-08",21,"2:00 PM",1548.24,7.34,"15-Aug-08",29,12891.8,9.464347505,8
"20","F","TB","O","17-Jul-08","30-Jul-08",13,"10:00 AM",260.7,5.56,"4-Aug-08",18,"9:00 AM",1640.21,7.4,"10-Aug-08",24,12805.4,9.457619893,6
"20","F","TB","P","17-Jul-08","31-Jul-08",14,"9:00 PM",270.18,5.6,"6-Aug-08",20,"2:00 PM",1356.49,7.21,"13-Aug-08",27,12562.3,9.438454748,7
"20","F","TB","Q","17-Jul-08","30-Jul-08",13,"10:00 AM",250.51,5.52,"4-Aug-08",18,"6:00 PM",1355.44,7.21,"11-Aug-08",25,11599.4,9.35870779,7
"20","F","TB","R","17-Jul-08","30-Jul-08",13,"11:00 PM",204.35,5.32,"6-Aug-08",20,"2:00 PM",1414.31,7.25,"14-Aug-08",28,12607.1,9.442014633,8
"20","F","TB","S","17-Jul-08","31-Jul-08",14,"8:00 PM",253.03,5.53,"6-Aug-08",20,"2:00 PM",1386.48,7.23,"13-Aug-08",27,11329.7,9.335178462,7
"20","F","TB","T","17-Jul-08","30-Jul-08",13,"10:00 AM",236.02,5.46,"4-Aug-08",18,"9:00 AM",1426.26,7.26,"10-Aug-08",24,11782,9.37432992,6
