ID,food,fate,date.max,mass.max,pop,para,HS,bin,date.death,survived,date.hatch,mass.hatch,date.3rd,mass.3rd,date.para,num.para,date.hs,date.4th,mass.4th,date.5th,mass.5th,date.6th,mass.6th,date.7th,mass.7th,date.w,mass.w,date.pupa,date.mass,mass.pupa,date.eclos,mass.eclos,sex,deformed,date.coc,date.remove,mass.remove,num.w.coc,num.w.larvae,wet,date.w.eclos,num.w.eclos,date.5th.2,mass.5th.2,date.5th.3,mass.5th.3,date.5th.4,mass.5th.4,date.6th.2,mass.6th.2,date.6th.3,mass.6th.3,date.6th.4,mass.6th.4,date.7th.2,mass.7th.2,,,date.out,mass.out,date.cull,notes
001,TB,dead,,,Clayton,no,yes,A,,no,07/11/2020,1,07/17/2020,54.65,,,07/17/2020,07/21/2020,405.1,07/25/2020,2215.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/28/2020,same compartment 07/28/2020
002,TB,dead,,,Clayton,no,no,A,,no,07/11/2020,1,07/17/2020,40.55,,,,07/21/2020,375.9,07/25/2020,1752.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/28/2020,same compartment 07/28/2020
003,DC,dead,,,Clayton,no,yes,A,,no,07/12/2020,1,07/19/2020,52.94,,,07/19/2020,07/23/2020,391.6,07/27/2020,2457.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/28/2020,same compartment 07/28/2020
004,DC,dead,,,Clayton,no,no,A,,no,07/12/2020,1,07/19/2020,47.24,,,,07/22/2020,181.1,07/27/2020,1971.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/28/2020,same compartment 07/28/2020
005,TB,em,8/5/20,1605.72,RM,yes,yes,B,,yes,07/12/2020,1,07/19/2020,81.73,07/19/2020,1,07/19/2020,07/23/2020,263.1,07/27/2020,811.5,,,,,,,,,,,,,,08/03/2020,08/05/2020,1605.72,1,2,no,08/09/2020,1,,,,,,,,,,,,,,,,,,,,
006,TB,em,8/5/20,3391.73,RM,yes,no,B,,yes,07/12/2020,1,07/19/2020,48.77,07/19/2020,1,,07/23/2020,357.9,07/27/2020,1253.7,,,,,,,,,,,,,,08/02/2020,08/05/2020,3391.73,94,6,no,08/07/2020,94,,,,,,,,,,,,,,,,,,,,
007,TB,wowe,8/3/20,1761.2,Clayton,yes,yes,C,,yes,07/12/2020,1,07/19/2020,81.50,07/19/2020,1,07/19/2020,07/23/2020,456.4,07/27/2020,1457.6,,,,,,,,,,,,,,,,,,,,,,08/03/2020,1761.2,08/10/2020,1383.1,,,,,,,,,,,,,,,08/10/2020,
008,TB,em,8/4/20,4327.87,Clayton,yes,no,C,,yes,07/12/2020,1,07/19/2020,90.06,07/19/2020,3,,07/22/2020,323.3,07/26/2020,1540.7,,,,,,,,,,,,,,08/01/2020,08/04/2020,4327.87,127,4,yes,08/06/2020,79,,,,,,,,,,,,,,,,,,,,
009,TB,wander,8/5/20,5003.7,Clayton,no,yes,D,,yes,07/12/2020,1,07/19/2020,93.61,,,07/19/2020,07/22/2020,371.7,07/27/2020,1706,,,,,08/05/2020,5003.7,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,TB,wander,7/31/20,7737.1,Clayton,no,no,D,,yes,07/12/2020,1,07/19/2020,60.57,,,,07/22/2020,284.1,07/26/2020,2126.9,,,,,07/31/2020,7737.1,,08/25/2020,2482.15,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,TB,wowe,8/2/20,2546.8,Clayton,yes,yes,E,,yes,07/12/2020,1,07/19/2020,63.61,07/19/2020,1,07/19/2020,07/22/2020,263.7,07/26/2020,1369.4,,,,,,,,,,,,,,,,,,,,,,08/02/2020,2546.8,08/10/2020,1884.2,,,,,,,,,,,,,,,08/10/2020,stuck inside molt to 6th 8/3
012,TB,em,8/8/20,2348.51,Clayton,yes,no,E,,yes,07/13/2020,1,07/20/2020,35.28,07/20/2020,2,,07/25/2020,339.4,07/29/2020,1246.7,,,,,,,,,,,,,,08/04/2020,08/08/2020,2348.51,4,60,yes,,0,,,,,,,,,,,,,,,,,,,,bled 07/20/2020
013,DC,dead,,,Clayton,yes,yes,B,07/29/2020,no,07/12/2020,1,07/20/2020,50.00,07/20/2020,2,07/20/2020,07/23/2020,210.5,07/28/2020,668.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Needed help molting to 5th
014,DC,em,8/4/20,2019.3,Clayton,yes,no,B,,yes,07/12/2020,1,07/20/2020,62.09,07/20/2020,2,,07/23/2020,236,07/28/2020,1917.8,,,,,,,,,,,,,,08/01/2020,08/04/2020,2019.3,113,0,no,08/06/2020,113,,,,,,,,,,,,,,,,,,,,
015,TB,quink,,,RM,yes,yes,F,,no,07/13/2020,1,07/20/2020,71.16,07/20/2020,2,07/20/2020,07/25/2020,377.3,07/29/2020,1181.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/30/2020,quink
016,TB,em,8/8/20,3138.73,RM,yes,no,F,,yes,07/14/2020,1,07/20/2020,71.86,07/20/2020,3,,07/23/2020,142.2,07/28/2020,1223.8,,,,,,,,,,,,,,08/04/2020,08/08/2020,3138.73,80,0,yes,08/09/2020,77,,,,,,,,,,,,,,,,,,,,
017,TB,wander,8/3/20,7537.2,Clayton,no,yes,G,,yes,07/13/2020,1,07/20/2020,34.19,,,07/20/2020,07/23/2020,219.2,07/28/2020,2169.7,,,,,08/03/2020,7537.2,08/09/2020,08/09/2020,3464.73,08/31/2020,1327.7,m,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018,TB,wander,8/3/20,7339.5,Clayton,no,no,G,,yes,07/14/2020,1,07/21/2020,37.61,,,,07/25/2020,383.7,07/29/2020,2046.8,,,,,08/03/2020,7339.5,08/09/2020,08/09/2020,3158.4,09/06/2020,928.25,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
